"Time","unused terminations","success termination","immediate termination"
1627862566763,0,0,0
1627862567066,0,0,0
1627862567436,0,0,0
1627862567939,0,0,0
1627862568271,0,0,0
1627862568466,0,0,0
1627862568905,0,0,0
1627862569433,0,0,0
1627862569913,0,0,0
1627862570445,0,0,0
1627862571443,0,0,0
1627862572418,0,0,0
1627862573437,0,0,0
1627862574419,0,0,0
1627862575447,0,0,0
1627862576123,0,0,0
1627862576523,0,0,0
1627862577004,0,0,0
1627862577366,0,0,0
1627862577526,0,0,0
1627862577712,0,0,0
1627862577882,0,0,0
1627862578082,0,0,0
1627862578268,0,0,0
1627862578510,0,0,0
1627862579027,0,0,0
1627862579503,0,0,0
1627862579987,0,0,0
1627862580330,0,0,0
1627862580491,0,0,0
1627862580669,0,0,0
1627862580829,0,0,0
1627862581056,0,0,0
1627862581219,0,0,0
1627862581555,0,0,0
1627862582028,0,0,0
1627862582507,0,0,0
1627862583533,0,0,0
1627862584001,0,0,0
1627862584215,0,0,0
1627862584429,0,0,0
1627862584598,0,0,0
1627862584769,0,0,0
1627862584970,0,0,0
1627862585152,0,0,0
1627862585317,0,0,0
1627862585545,0,0,0
1627862586087,0,0,0
1627862586575,0,0,0
1627862587031,0,0,0
1627862587563,0,0,0
1627862588065,0,0,0
1627862588388,0,0,0
1627862588527,0,0,0
1627862588710,0,0,0
1627862588916,0,0,0
1627862589212,0,0,0
1627862589603,0,0,0
1627862590079,0,0,0
1627862590833,0,0,0
1627862591073,0,0,0
1627862591587,0,0,0
1627862592075,0,0,0
1627862592623,0,0,0
1627862593094,0,0,0
1627862593662,0,0,0
1627862594147,0,0,0
1627862594324,0,0,0
1627862594616,0,0,0
1627862595128,0,0,0
1627862596710,0,0,0
1627862596900,0,0,0
1627862597087,0,0,0
1627862597307,0,0,0
1627862597543,0,0,0
1627862597845,0,0,0
1627862598014,0,0,0
1627862598215,0,0,0
1627862598375,0,0,0
1627862598545,0,0,0
1627862598757,0,0,0
1627862599182,0,0,0
1627862599656,0,0,0
1627862600127,0,0,0
1627862600669,0,0,0
1627862601165,0,0,0
1627862601716,0,0,0
1627862602224,0,0,0
1627862602692,0,0,0
1627862603182,0,0,0
1627862603692,0,0,0
1627862604187,0,0,0
1627862604497,0,0,0
1627862604684,0,0,0
1627862604906,0,0,0
1627862605074,0,0,0
1627862605258,0,0,0
1627862605438,0,0,0
1627862605716,0,0,0
1627862606497,0,0,0
1627862606672,0,0,0
1627862606876,0,0,0
1627862607062,0,0,0
1627862607249,0,0,0
1627862607495,0,0,0
1627862607784,0,0,0
1627862607990,0,0,0
1627862608194,0,0,0
1627862608333,0,0,0
1627862608741,0,0,0
1627862609255,0,0,0
1627862609765,0,0,0
1627862610230,0,0,0
1627862610772,0,0,0
1627862611229,0,0,0
1627862611772,0,0,0
1627862612245,0,0,0
1627862612573,0,0,0
1627862612743,0,0,0
1627862612927,0,0,0
1627862613096,0,0,0
1627862613252,0,0,0
1627862613606,0,0,0
1627862613830,0,0,0
1627862614322,0,0,0
1627862614769,0,0,0
1627862615261,0,0,0
1627862615427,0,0,0
1627862615821,0,0,0
1627862616021,0,0,0
1627862616306,0,0,0
1627862616786,0,0,0
1627862617318,0,0,0
1627862617793,0,0,0
1627862618325,0,0,0
1627862618814,0,0,0
1627862619326,0,0,0
1627862619821,0,0,0
1627862620320,0,0,0
1627862620807,0,0,0
1627862621003,0,0,0
1627862621941,0,0,0
1627862622854,1,1,0
1627862623034,1,1,0
1627862623305,1,1,0
1627862623505,1,1,1
1627862623672,1,1,2
1627862623976,1,3,3
1627862624235,1,3,3
1627862624850,1,5,3
1627862625240,1,5,3
1627862625882,1,7,3
1627862626061,1,7,3
1627862626251,1,7,3
1627862626898,1,9,3
1627862627256,1,9,3
1627862628461,1,11,3
1627862628542,1,11,3
